Experiment_3 Donor_5,Experiment_4 Donor_2,Experiment_4 Donor_8,Experiment_4 Donor_7,Experiment_4 Donor_9,Experiment_3 Donor_1
1.0,1.0,1.0,-0.0,1.0,1.0
1.0,0.0,-0.0,0.0,0.0,-0.0
-1.0,0.0,0.0,1.0,0.0,-1.0
-0.0,-1.0,-0.0,-1.0,-1.0,1.0
-0.0,-1.0,-0.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,-0.0,-1.0,-1.0
-0.0,0.0,0.0,0.0,-0.0,-0.0
-0.0,0.0,0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-1.0,-1.0,-1.0
0.0,-1.0,-0.0,-1.0,-1.0,-0.0
0.0,-1.0,-0.0,-1.0,-1.0,-0.0
-0.0,-1.0,-1.0,-1.0,-1.0,-0.0
-0.0,-0.0,0.0,1.0,-0.0,-0.0
0.0,-0.0,-0.0,-1.0,-1.0,1.0
-0.0,0.0,0.0,0.0,-0.0,-0.0
0.0,0.0,0.0,-1.0,-1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,0.0
-0.0,-0.0,-1.0,-0.0,-0.0,-1.0
1.0,0.0,0.0,-0.0,-0.0,1.0
0.0,0.0,1.0,0.0,-1.0,1.0
0.0,0.0,1.0,0.0,-1.0,1.0
-0.0,0.0,-0.0,1.0,0.0,0.0
-0.0,-0.0,-1.0,0.0,1.0,-1.0
-0.0,-0.0,-1.0,-0.0,1.0,-1.0
-0.0,-0.0,-1.0,-0.0,1.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,-0.0
0.0,1.0,1.0,1.0,1.0,-0.0
0.0,0.0,-0.0,-0.0,0.0,-0.0
1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,-0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0,-0.0
0.0,1.0,0.0,1.0,1.0,-0.0
-0.0,-0.0,-1.0,0.0,0.0,-1.0
1.0,1.0,0.0,1.0,1.0,0.0
1.0,1.0,-0.0,0.0,-0.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,-0.0,0.0,-0.0,1.0
1.0,1.0,-0.0,0.0,-0.0,1.0
0.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,0.0,-0.0,0.0,-0.0,1.0
0.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0,0.0,0.0,-0.0
-0.0,-1.0,-0.0,-1.0,-0.0,-1.0
-1.0,-1.0,-0.0,-1.0,-1.0,-0.0
1.0,1.0,0.0,1.0,1.0,0.0
1.0,1.0,-0.0,0.0,-0.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,-0.0,0.0,-0.0,1.0
1.0,1.0,-0.0,0.0,-0.0,1.0
0.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,0.0,-0.0,0.0,-0.0,1.0
0.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0,0.0,0.0,-0.0
-0.0,-1.0,-0.0,-1.0,-0.0,-1.0
-1.0,-1.0,-0.0,-1.0,-1.0,-0.0
0.0,-0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,-0.0,-0.0,1.0,0.0,0.0
0.0,-0.0,-0.0,1.0,0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,-0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0
-0.0,0.0,-0.0,0.0,0.0,-0.0
0.0,-0.0,-1.0,0.0,-0.0,-0.0
0.0,-0.0,-1.0,0.0,-0.0,-0.0
0.0,-0.0,-1.0,0.0,-0.0,-0.0
0.0,-0.0,-1.0,0.0,-0.0,-0.0
-1.0,-0.0,-1.0,-1.0,-1.0,-0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.0,0.0,-0.0,-0.0,1.0
1.0,-0.0,-0.0,-0.0,0.0,1.0
1.0,0.0,-0.0,0.0,-0.0,1.0
1.0,0.0,0.0,-0.0,-0.0,1.0
1.0,-0.0,-0.0,0.0,-0.0,1.0
1.0,0.0,0.0,-0.0,-0.0,1.0
1.0,-0.0,-0.0,-0.0,-0.0,1.0
1.0,-0.0,-0.0,-0.0,-0.0,1.0
0.0,0.0,0.0,0.0,-0.0,1.0
-0.0,0.0,0.0,0.0,-0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,-0.0
-0.0,0.0,-0.0,-0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,0.0,-0.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,0.0,1.0,0.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0
1.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0
-0.0,1.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-1.0,-0.0,-0.0
-0.0,0.0,-0.0,-1.0,-1.0,-0.0
-0.0,-0.0,-0.0,-1.0,-1.0,-1.0
0.0,0.0,-0.0,-1.0,-1.0,-1.0
-0.0,-0.0,-1.0,-1.0,-1.0,-1.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,-0.0,0.0,1.0
0.0,0.0,0.0,-0.0,-1.0,1.0
0.0,-0.0,0.0,-0.0,-1.0,1.0
0.0,0.0,-0.0,-1.0,-0.0,1.0
0.0,0.0,0.0,-1.0,-1.0,1.0
0.0,-0.0,-0.0,-0.0,-1.0,0.0
0.0,-0.0,-0.0,-0.0,-1.0,0.0
-0.0,-0.0,-1.0,1.0,1.0,-1.0
-0.0,-0.0,-1.0,1.0,1.0,-1.0
-0.0,-0.0,-1.0,1.0,0.0,-1.0
-0.0,-0.0,-1.0,1.0,0.0,-1.0
-0.0,-0.0,-1.0,-0.0,1.0,-1.0
-0.0,-0.0,-1.0,1.0,0.0,-1.0
-1.0,-0.0,-1.0,1.0,0.0,-1.0
-0.0,-0.0,-1.0,-0.0,0.0,-1.0
0.0,-0.0,0.0,1.0,0.0,0.0
0.0,-0.0,0.0,1.0,0.0,0.0
0.0,0.0,-0.0,-0.0,-0.0,0.0
0.0,0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-1.0,-0.0,0.0,0.0
0.0,-0.0,-1.0,-0.0,0.0,0.0
-0.0,0.0,-1.0,-1.0,-1.0,-1.0
-0.0,0.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-0.0,-1.0
-1.0,-1.0,-1.0,-1.0,-0.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,-0.0,1.0,0.0
1.0,1.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-1.0,-1.0,0.0
-1.0,-0.0,-0.0,0.0,0.0,-1.0
0.0,-0.0,-0.0,-1.0,-1.0,0.0
-1.0,-0.0,-0.0,0.0,0.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
0.0,1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,-0.0,1.0,0.0
1.0,1.0,0.0,-0.0,1.0,0.0
-0.0,-0.0,0.0,1.0,1.0,-0.0
-0.0,-0.0,0.0,1.0,1.0,-0.0
0.0,-0.0,-1.0,-1.0,-1.0,0.0
0.0,-0.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
-0.0,1.0,1.0,-0.0,-0.0,0.0
-0.0,1.0,1.0,-0.0,-0.0,0.0
-0.0,-0.0,-1.0,1.0,1.0,-1.0
0.0,0.0,1.0,-1.0,-1.0,1.0
-0.0,-0.0,-1.0,1.0,1.0,-1.0
0.0,0.0,1.0,-1.0,-1.0,1.0
-0.0,0.0,-0.0,-0.0,0.0,-0.0
-0.0,0.0,-0.0,-0.0,0.0,-0.0
0.0,-1.0,-1.0,-0.0,0.0,0.0
0.0,-1.0,-1.0,-0.0,0.0,0.0
0.0,-1.0,-1.0,-0.0,0.0,-0.0
0.0,-1.0,-1.0,-0.0,0.0,-0.0
1.0,0.0,1.0,0.0,-0.0,1.0
1.0,0.0,1.0,0.0,-0.0,1.0
-0.0,1.0,1.0,-0.0,-0.0,0.0
-0.0,1.0,1.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,-0.0,0.0,0.0
0.0,-1.0,-1.0,-0.0,0.0,0.0
0.0,-1.0,-1.0,-0.0,0.0,0.0
0.0,-0.0,-1.0,-1.0,-0.0,-1.0
0.0,-0.0,-1.0,-1.0,-0.0,-1.0
1.0,0.0,-0.0,0.0,1.0,1.0
1.0,0.0,-0.0,0.0,1.0,1.0
-0.0,0.0,0.0,-0.0,0.0,1.0
-0.0,0.0,0.0,-0.0,0.0,1.0
0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,0.0
-0.0,0.0,-0.0,-0.0,-1.0,-1.0
-0.0,0.0,-0.0,-0.0,-1.0,-1.0
-1.0,-0.0,-1.0,-0.0,-0.0,-1.0
-1.0,-0.0,-1.0,-0.0,-0.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
